"resource_state";"athlete";"name";"distance";"moving_time";"elapsed_time";"total_elevation_gain";"type";"id";"external_id";"upload_id";"start_date";"start_date_local";"timezone";"utc_offset";"start_latlng";"end_latlng";"location_city";"location_state";"location_country";"start_latitude";"start_longitude";"achievement_count";"kudos_count";"comment_count";"athlete_count";"photo_count";"map";"trainer";"commute";"manual";"private";"visibility";"flagged";"gear_id";"from_accepted_tag";"upload_id_str";"average_speed";"max_speed";"average_cadence";"average_watts";"weighted_average_watts";"kilojoules";"device_watts";"has_heartrate";"average_heartrate";"max_heartrate";"heartrate_opt_out";"display_hide_heartrate_option";"max_watts";"elev_high";"elev_low";"pr_count";"total_photo_count";"has_kudoed";"suffer_score"
"2";"@{id=28538196; resource_state=1}";"Volcano Flat";"13057,2";"1376";"1376";"50,0";"VirtualRide";"4612886104";"zwift-activity-726630823994210064.fit";"4927205007";"2021-01-13T09:22:38Z";"2021-01-13T10:22:38Z";"(GMT+01:00) Europe/Amsterdam";"3600,0";"System.Object[]";"System.Object[]";;;"";"-11,638793";"166,948752";"0";"17";"0";"11";"0";"@{id=a4612886104; summary_polyline=ne`fAud~y^YEcCm@}Ag@m@YmAq@eBkA{@cAg@}@_@aA[cASwACy@Hw@La@T_@d@e@x@o@~DmCd@g@FODO?QCQQ]c@a@_BcAIMI]BOHKLG|AUHK?QIaA]}Ca@yCE_AAaAPwALg@Ne@h@eAd@m@Z[l@a@pAm@dA]tA]xB_@hI}@`C_@lA]p@a@d@m@d@cAt@wBRa@T_@Z[pA{@|A_@h@Ez@?z@Nt@Vp@b@ZXb@j@hBjC~@fA\T`@Nb@Jb@Dv@At@IfDa@fAUxHoBvK{ChDeAt@Ot@C`@HLJJNF`@@v@ElLIdBK|@Kn@yA~FKXc@x@Od@CZ@jGC~@C^GZMVKJe@LeAH{FHk@EMGQU]u@qCuJQ[_@e@g@_@_@KOA_@D_@Ne@`@QZM\G^?`@D`@Nn@tFrLf@v@FLENKJ[N]H_BVkEh@_AN]J[PUXK\?NBNHLLHLD^@~AOzEs@nAM^?L@JH@LIJMHy@PgLdAKJAN?PFNLHdAHb@A|AUh@Eh@AnAFvAP^JLHHNL`@FfBJh@Xb@tAbBNf@BT?TEPKPQJuAVUJKRATDTb@pARb@JPNJPDR@d@EPDJNDPCPINOHS?c@Ec@?a@HMLANHNn@PJJDNAPKLODa@?a@Kk@]c@Gc@@_ATi@TYPu@jAURsBpA_@^Wf@[z@S~@i@tDKbAGdACdABdAb@hGDjBAdAGbA]bCq@hBiBxCsB|DUZeAn@UXM^WdBQp@QZe@b@y@f@{@`@_AVa@Ds@CsAOs@EO@o@ROEGMFOb@Sd@MpAIZIFS?SQY[QU?a@JaE~AY?YIa@S][kB}AGIGW?i@Di@D]FMJGhAIJMDSEoANkACe@]wCSa@[Wa@OQ?QFm@^ODe@AQBMJIL[dAKLOHc@Hc@AOIU[s@iCq@mACQ@c@Rq@l@kAVYf@a@V[H_@Be@FOHMp@q@FOBOGc@So@a@}@aAmCgBuFe@cBMu@Ac@Ha@HMXYZQ`@GPA^Fh@TVTt@|@LHN@NCJKDM?OI_@]g@_@}@oAwDm@iA[a@c@[}@c@}EsAqAi@aCsAOKkAgAo@aAo@uA_@{AOkACe@Be@Lw@^o@|@{@hAs@; resource_state=2}";"False";"False";"False";"False";"everyone";"False";"b5862767";"False";"4927205007";"9,489";"13,3";"83,6";"200,8";"203";"276,3";"True";"True";"131,1";"146,0";"False";"True";"348";"20,0";"-6,2";"0";"1";"False";"5,0"
"2";"@{id=28538196; resource_state=1}";"Flat route ";"10751,5";"1106";"1106";"61,0";"VirtualRide";"4612818575";"zwift-activity-726620844074099440.fit";"4927133532";"2021-01-13T09:03:31Z";"2021-01-13T10:03:31Z";"(GMT+01:00) Europe/Amsterdam";"3600,0";"System.Object[]";"System.Object[]";;;"";"-11,637203";"166,94944";"2";"15";"0";"39";"0";"@{id=a4612818575; summary_polyline=p{_fA_i~y^QEi@YqA}@u@s@i@u@o@yA]iASoAEaA@a@Fa@\}@~AqAtCkBj@a@d@g@Na@?QCQQ]g@c@yA_AKMEOCQBOJKn@Or@GJKBQAa@e@eEc@}CEwA@k@PuALg@Pe@x@wAx@y@dAm@dAc@t@UzA]zAWvIaAvB[l@Oj@Qd@WPOZa@^w@fAwC`@s@j@g@p@c@v@[z@Q|@E|@Ft@Pr@\`@VZZzChEh@l@`@Xb@Pf@Jf@Bd@Az@GhDc@xA[pHmBdA[`@Ob@IhMqDr@Ib@?NDNHJJHNBP@d@CdLGtBUjB{AjGOd@i@bAKb@A~HIhAIXGJSPKDoAJ}FJk@CME[_@Yq@oCoJYg@_@c@YS[M_@E]Ds@`@UTOXOj@C\@^F\Nj@rFlLl@~@?NUT[L[HiAPsFp@iAXYNUVK\?NBNFJJJLD^BzAMfFu@lAM\?NBJHALIJKF]H]FyBTkHl@KJCL@NBNHJLF~@D`@AdBWh@ErABj@Bj@Fl@LZNJJL^FbBFf@HRXb@x@~@X`@HRFh@ATGRMNSJwAXSLETBVb@rA?RERIPQHSAQEOK}BiC[W_@SSCS@OJWb@qAhEOTUFWKc@i@aAsB_@i@UMWCWJe@b@yHrEOJa@t@QDQGW[aC{Fc@u@[_@e@Yq@O_AC}@Fs@POHMNERATFn@Pn@JTNRRNpAl@JN?RGPYZu@l@a@R]VQA}@cAOGc@CMIGOIu@EOa@o@]]QGSAS@_@JMHUTUj@C^BNJLbA`@LN@TKv@@PHLLJxAf@HLBLINg@XKHCNNl@ILo@Tw@NQ@g@CQG]Wi@{@[s@_AuC[{@e@y@[a@e@]}@c@aGaBcAi@yAw@mAaAs@w@[g@i@qAa@sASsAA_ADg@DUPe@b@i@bAu@; resource_state=2}";"False";"False";"False";"False";"everyone";"False";"b5862767";"False";"4927133532";"9,721";"15,0";"82,9";"217,9";"244";"240,9";"True";"True";"133,5";"176,0";"False";"True";"723";"23,0";"-6,2";"0";"1";"False";"6,0"
"2";"@{id=28538196; resource_state=1}";"TDZ Stage 2: Standard Ride ";"26167,7";"2769";"2769";"505,0";"VirtualRide";"4608822575";"zwift-activity-726044135013465616.fit";"4922971287";"2021-01-12T14:02:25Z";"2021-01-12T15:02:25Z";"(GMT+01:00) Europe/Amsterdam";"3600,0";"System.Object[]";"System.Object[]";;;"";"47,271398";"11,396013";"22";"22";"0";"17";"0";"@{id=a4608822575; summary_polyline=euo_HaxpdAJx@t@r@dMdAj@QF_@EeAiAgM_@oC@iARSlBi@nBYpCnAj@?PMb@qB|@gMJ]tAu@vAyBbCsFrAmFPSRBdDp@d@SJy@?{@e@}IXu@hHmCpHkEzEmF\m@Ry@lBUdGmDhQsEzAaBDiAu@sH\aHEaCiAqI_AsDa@cC}AeM{BeYKiEDgFLgCRqAXcA`AoBViADgBQeF@eBVIX`@\lDdBnHj@h@\CXULg@@i@]sGPgCd@}Cv@sD`AqCZ_@jA[^s@Rw@?sE[wLW}BcB{JEkARwAx@aC|AmDf@c@`BAbEz@rBv@hBtAp@z@v@fBxC|MjAfEf@zAr@dApA~@hEvAlCbB`DrC`BjC|@x@rKdEhDrBvIdHLj@KzADh@h@BfCwAz@EbDzBtD^lRdGbAj@vBnBfAj@lK~B|AB~E}AxBOxCXtDzA`B~@zBrBdBtBrAtBhCjGdE`PrAlC|AlBhCjB|ClApMpBdDz@xEfDvAtB@`@W|@_@p@g@^_Gz@gETyDjAiCfBuHfH{BbBi@r@s@zAsCT}@`@}CfEeE`DiBzCoErIcBfBoAd@kDZ}BB}Cm@e@?a@Vu@vAaD|Hi@lCaAbIW`Ae@p@}Bt@kCFu@d@gArAu@h@{Cv@gBAyEmAc@RkDzFcD`EmAfA{CdBYByBaAsCDeAq@yDo@a@M[_@i@yA_@a@{CK_@e@Iy@@yDk@gB{@oAcB_BuC_BqDmCiGgDcAUgA?{Dp@a@ZaAbCqBdB}AFuAs@mAsAs@}BeBgMo@eG{AuHk@qGm@gCuAq@_@BwGvA_HpBkEzBeAv@u@pAGfA|@jP~@vKnBd]p@jFfBrH@bAO\aAt@yD|AaDp@sBGk@Pu@v@uBfDwAx@iJjB{FK}AJcKlDqLpCSd@@r@XrD\z@eCjEIl@BrBKb@}CrDqGdLYTOWJgD[}DY{Ba@kA[WyBm@w@e@_A_BuByEu@_Au@a@oBD_@UHaBj@eCp@g@vA}BDm@[uA_A{AeAeAsMyHwBwBcC}FyBqDaAqBsF{Qg@}BYiCDgAVKhCxAvAhA~Sha@tEhGxG`GzDlBvBBlU`BN_@AkAcAwLi@wDFy@nBu@tB_@l@LfB`A`@D^QRk@VeBz@sLXe@jAi@pAwB`CkFvAwF^MdDv@`@KHUHs@CoAc@yHLq@`@]bJmDpGeEAKmCjBuDrB; resource_state=2}";"False";"False";"False";"False";"everyone";"False";"b5862767";"False";"4922971287";"9,45";"24,0";"88,9";"293,6";"307";"813,1";"True";"True";"164,8";"187,0";"False";"True";"880";"695,8";"278,8";"16";"1";"False";"88,0"
"2";"@{id=28538196; resource_state=1}";"Watopia";"2607,5";"287";"287";"4,0";"VirtualRide";"4603992037";"zwift-activity-725374318388423744.fit";"4917932399";"2021-01-11T15:46:32Z";"2021-01-11T16:46:32Z";"(GMT+01:00) Europe/Amsterdam";"3600,0";"System.Object[]";"System.Object[]";;;"";"-11,638621";"166,948822";"0";"0";"0";"15";"0";"@{id=a4603992037; summary_polyline=ld`fAce~y^]EoBg@yAg@uBcAUU_Am@m@o@i@s@e@kA_@iAOm@K{@Cq@Bq@No@P[TYr@m@xCoBbAu@`@c@N[?_@EOOWk@g@qAy@QUGY@KFIRMn@Md@CHEDK@Mi@kFa@iCEoA?}@Dg@N{@Tw@Pa@`@o@dAoAvAs@jAc@pBg@lAUrJeAnB[|@Sf@Sp@c@`@m@`@aAr@qBd@{@HMf@a@h@]^Q~@YdAI`ABx@P; resource_state=2}";"False";"False";"False";"True";"only_me";"False";"b5862767";"False";"4917932399";"9,085";"12,9";"78,8";"120,0";"121";"34,4";"True";"True";"129,6";"157,0";"False";"True";"185";"4,8";"-6,0";"0";"1";"False";"1,0"
"2";"@{id=28538196; resource_state=1}";"TDZ Stage 2: Longer Ride";"33320,3";"2744";"2744";"259,0";"VirtualRide";"4603967504";"zwift-activity-725345242664274528.fit";"4917906774";"2021-01-11T15:00:17Z";"2021-01-11T16:00:17Z";"(GMT+01:00) Europe/Amsterdam";"3600,0";"System.Object[]";"System.Object[]";;;"";"37,54105";"-77,433434";"70";"27";"0";"49";"0";"@{id=a4603967504; summary_polyline=qfcdF~urwMb@b@BXIX_^pr@cQv]GZ?\HZNVhH~EFZEZcRn^cD`HiF|J_@\g@NMRg@zAcDrGmAj@MRIVCpAGVyFzKgJ`R_EpHYn@AZNRT?PSxQ}^dE}H`@k@l@OTONWD]@_AF[h@mAbCwEb@e@TCl@Jx@n@dAjAf@ZpLjFhGdDn@LTKNWV{BtFkTN{@FyWAyLFkFE_@YMiCCYCYOaA{@wFwDQQKY@[`Xgi@RST?TLxBbC`EzD|AhAh@TV?RI`@i@~@_C`DyGtT}b@tDwG|DuHlBeDZQ^RvFbGZNZQdAyBVaABc@OgB@a@N_A|BqF~EgIhC{EfBkDd@mBvI_OpCcEnAuAjPyLlCyClAgA|C{@pDqAd@YNSFWGYQIU?cBb@yGxCkF|F}@l@cA\aAN}EOyIzAM?GM@Mh@o@?KIUQMa@GgAPGI?Yv@c@d@cAb@Pb@f@XF\IJKFO@SKg@mBwBQKSAOJo@fBaJ`QGd@P`@pB`BPb@Of@cClFU^WX_@AUSqLaMOKSAQJ}AfDgK|Rc@jADh@jAtAfKlJH\Wz@aCvEuBfD}A|C}GzLWBk@S[Qm@q@aA]cB_AiA_@sAOsB}AQAOFo@dAsd@r}@sRd`@Mp@BXVj@|GrENPBXIVaRp^oDrH}EjJMNu@XMPm@fBwC~F]Zu@XMPMl@?p@Ol@wO`[gGhLUh@CVJRPFPIJO`Rk_@hE}HZ_@b@I^[HUDkALm@jCmFv@qATGj@Dt@f@lArA`@ZzLnFjGfDh@LTENQHYRkBnFySTqAF}V?gMD{FG]WKeB?kAO{@u@wGsEMSAYTq@nWeh@POT?RLbCjCpDjDdBpAb@TR@d@S\g@dAkCrBiEbVme@hDcGnD_H|ByDVUZLjGrGXBRStA_DH{@OwBRyAbCwFlEkHjCyEvBiETmAb@y@lIoNxBcDjAuAvPaMpE{E~C}@dE}A`@[JU?WMSQEcB^aHzCeFvFmAv@}@\}@N_FQiAXmG`AWACMBMd@g@@UKS]MWC_APIEC[z@e@^aAHCPHl@p@\Dh@UFS?USg@}AgBi@USJw@tBwInPIb@Nd@tBdBLd@y@rBeBrDW\_@D[SqLaMOMSAQHkB|DkKbSSl@Fl@t@~@xKbKJZG^cC~EoCpEiA|BeHfM[@u@W}@}@eAa@}A}@mA]wASgBwAUCQHu@lAwElJcN|W; resource_state=2}";"False";"False";"False";"False";"everyone";"False";"b5862767";"False";"4917906774";"12,143";"22,2";"96,3";"320,7";"329";"880,1";"True";"True";"168,8";"189,0";"False";"True";"627";"64,6";"4,2";"27";"0";"False";"118,0"
"2";"@{id=28538196; resource_state=1}";"Vogels kijken, waren er niet veel.";"73198,0";"9066";"9270";"64,9";"Ride";"4598933762";"3A5DA90A.fit.strava.fit";"4912591301";"2021-01-10T12:37:31Z";"2021-01-10T13:37:31Z";"(GMT+01:00) Europe/Amsterdam";"3600,0";"System.Object[]";"System.Object[]";;;"";"52,490953";"4,967243";"23";"31";"1";"1";"0";"@{id=a4598933762; summary_polyline=mck_Igdi]{@hEvG~FaBvFZfFrHxHLl@gF`Ra@HcC}Am@`BnBtBnBd@zDnDlFlCxDxCiDzLgJeB}DuDe@gAaAgMeA_C?g@|AcEhBrAfABzEoRoA{B{E_F_@yFxAyFiMiMu@oCs@cApAgFzFhThFdFaB`GZbF~H~IkFpRoDyA_@nBfBlBpBd@lExDlG`DhCbCeAhFVvAwFnh@]v@Ss@lBoOlCXEtFoB|O}@lLtG`EZz@aN~iAcCdWc@vIXt@fM|G{@dMjErCQfFN`@vGzDfEfAnAIrElB[vGcA\oBf[nBvElAbBxKbAxDpEjAj@`ApBCtAg@nB^vJj@~FrApFCjBjBt[IjBaBdI^`C_@xNpAjEpAhAbArB~ApI]`Bn@pBiY`[Sp@d}@l~C~@dGQdn@_AnFiDdMy@|AeDpCnAtGHrEoFvq@QtGR|HtEt`@HrDbAtDhDrWj@fLQnLg@rGlC|\AlGge@x@_EyA{JwIeEcA{OdCsCpAkBvBi@[yHfXeJx`@@dB_AnE}AxEA|DiB`Nu@bBmC~XkLf}@i@|BgAzJe@pJMxV{@rSqBrNuAlQ_@vHaAxW{BhNiBvFqc@rdAmlAjoCwBvDyD|Dg@zAsB`AmCbDa@tB^`GQvBaFnLkAhBOrBqLrWUFy@iAkFrKy@tCqH|EqCbAqw@xPyu@bF_GvBmNpHye@pMs]pEgCOgH_CH{CeAsLvDqGpF_HlByFvE{GxK{TlHuB|EoIjG}EzKwClB_BXeGiCa[_B{HaEaK}Hq^sEiJkI}JuE}@iEgB_NoMoSoN_LaNgDaJbD_NEkAwFyJkOcSmMs\}FoEqH{CuK}@wYuF}L{DoZkNgDN_DgAYU_@kBi@g@qlAak@oR{HiNsJaAp@qJnm@Yj@wOeJkDsF_Af@{No@cCd@_A_@e@H[v@qDv@BuBhBa@P_@GiG~Byh@QiA_BC~CtBr@i@nAqCiB_NwBuGaDsDiPuKc@{@GkBjCaV|AuCx`BavM|XcyBeA_DjCiR|Cmz@pDyWEkBx@qB`Gg_@bKst@pAwLE{Br@wAfC{N~RmvAvHej@ByFzBo@pbFxiClBZfMjG^_AdIui@hr@i`F`@sAt@S~OjI~@AdEqZjCiHxHo]bJac@hDi_@dAmSj@yMpDwJ~A{BrB{GtCaF`AsGtEcN~AaDvEiP\FtKlQdBjBfJtOrBfBz@uBj@NtJ~KlDbJfDbGfXbUlYna@bEhMlAw@z@jBn@UJ}HvBgLrClCxABVdBrGnGVnAIlD`@fBpMIlBpA^y@XCnR~Q; resource_state=2}";"False";"False";"False";"False";"everyone";"False";"b5862767";"False";"4912591301";"8,074";"11,2";;"135,3";;"1226,2";"False";"True";"153,6";"174,0";"True";"True";;"6,8";"-4,8";"2";"0";"False";"164,0"
"2";"@{id=28538196; resource_state=1}";"TT Tune-Up - Neuromuscular + AC #1";"27967,2";"2936";"2936";"442,0";"VirtualRide";"4588374645";"zwift-activity-723288340579634960.fit";"4901544132";"2021-01-08T18:41:55Z";"2021-01-08T19:41:55Z";"(GMT+01:00) Europe/Amsterdam";"3600,0";"System.Object[]";"System.Object[]";;;"";"40,776031";"-73,96721";"33";"19";"0";"4";"0";"@{id=a4588374645; summary_polyline=ea{wF`vmbMc@Nu@KoGcBmKcJsF_E}@oAq@qCIcBV}D_@uBk]mUiBq@{FWoATwBnAcBCoEuC{EaGgA}@gFBsDw@gBcB_AoCk@g@qA\]dATxBz@dBHh@SlAu@f@]C}D{DgE_CYoADuAzA_Gn@oAdB{@lBc@nEDf@s@t@aDb@eAn@[p@JdHlFhIjF~BrBVl@Hx@eAlEA`A`@t@pBpAr@~@Br@k@rBGbAJh@d@p@zHjGnIlFvDdBbNjEvBdAfAfA^fADpAs@nG}@x@qD_@y@jASfBT~@bC`BlBrCXfAB`C^t@pAf@fEh@jEq@h@u@fDeNxAsAjCk@dEbAlFlChMhIlJlHdBpBXr@LbAWbAwBlCW|@hBrHGnAk@`DQlCDt@v@d@|Dd@vDsCpBKrAcBtAz@`@t@CbB{CbHa@xAAjAf@tC@n@qBlB}@jC_@vBD|@d@`AzC|BhBt@vAJbA]bAkAbBuD|GsVzC}Gh@mBFmAo@_BgFkDsA_@cAHcAlB_@T_@YeAsB_@_@e@EiAj@[d@{ChH_CXwBfBaAd@{Dk@a@SIk@TkDn@qD?cAmA}DWkBxCwEHcAYoAgC{CiEkDqS_NmGoCoB_@}@DsBv@eApAqCnLm@vA_Bd@wBLwJeBiBg@aHiD_\sUwEiEmCmBqASyOx@gBe@uDmB_PeKYiAAg@l@sDd@gAr@[`Fq@~Aj@pA`BfBpGxCdBd@l@lBdHr@tA~JtFdAhAbBpD|E^lA^dAfBrAvFdClD`CvAhBb@bBKjEkAnAHt@`@nExE|AnDjAR`DMbB~@pJ|KpE|H`CfClA`@hIWdCd@jAm@bBkBr@cCOgDDoAnAoHAuAUiAaC[yAaAy@}@aCkF_EMgGcB}S_Qc@q@w@eDGw@XsEKkA]{@m]iUyAg@aGYw@JuC|AoAA{E{CcEgF{AuAuF?eDs@oBmBcAuCq@[y@TUZSnARrA|@lBDrAi@`A}@DsDwDiDcBu@}@E}AJw@nAaFj@qAdBaAdBe@`F?h@{@lAmE`@e@j@EfAd@pFjExLjIp@hAHr@eAnEEz@Zt@`C~An@`A?r@k@xBEv@h@rA~HlGhIjFlD`BfPnFhBfAt@hAR~@?bAu@pGe@f@[HgC_@m@Dc@p@[|AB`ANZ|B|AvB~CVhAGpA[l@i@H_I}Ce^eWsImHoA[eGZ; resource_state=2}";"False";"False";"False";"False";"everyone";"False";"b5862767";"False";"4901544132";"9,526";"22,4";"93,8";"264,4";"281";"776,3";"True";"True";"157,4";"183,0";"False";"True";"507";"132,8";"4,4";"7";"1";"False";"62,0"
"2";"@{id=28538196; resource_state=1}";"Watopia";"9830,2";"1053";"1053";"109,0";"VirtualRide";"4585235206";"zwift-activity-722896422042305280.fit";"4898241336";"2021-01-08T05:43:04Z";"2021-01-08T06:43:04Z";"(GMT+01:00) Europe/Amsterdam";"3600,0";"System.Object[]";"System.Object[]";;;"";"-11,639103";"166,948588";"4";"0";"0";"2";"0";"@{id=a4585235206; summary_polyline=lg`fAsc~y^QEaA]qDaAaA]oAm@gBmAu@q@c@g@[k@a@_A_@qASeAEs@@s@Fc@J_@HOn@s@t@k@zDiCd@e@R]BO?QCQGMc@g@kBoAIMEMAQDMJIj@S^?|@GpAEp@A`ADNDJHDN?NOp@O\IJOBOA[KIKC_@H{GDSTi@LMNCPJRb@Nf@hAbF^fAPRXNZ@TINQBKB[AW]_BiAaEYiAIu@DYRId@Ej@MdAGl@Iz@UbAq@|EiEr@a@v@WREx@AvEFdBJbANl@Ph@\`@f@R\N`@Jb@Fb@@f@Ed@EPU^}AzAW\_@n@Kd@Ch@A`ANnEAr@EVOPWDk@MeAa@a@Ma@EO@]JYRWVuAfB[T_@Pu@NcBLgIlAiB`@eCz@QLMNGRIl@El@ChA@r@Hr@JVTPZB\Cv@QfC{@pA[~Dm@jBUlAIlAAfAFl@JhElAjKvBb@Lt@Xd@HRARINMTa@Tu@x@sDXs@PUVMLC\A|@H`@@dC]x@CjAD~@H^FZLXTL^FbBHh@HRX`@hApAJPJh@@TARIROLQHaAPUFQNETBVb@pA?TEPKPQHSAQGOKaCmCm@a@OEQAQBMJKNYp@_A`DU^QDQEY]_@o@o@sAa@m@MIQGQ@OFi@d@{HtEMJ[l@MLQAMIS[aCwFg@{@c@c@YQUGe@GYA_ABa@Fe@JQFMLIRAV@TRdAVj@PNpAl@NLFPCRY\w@n@q@^MLQ@MKs@w@OIe@CMKQiA_@s@]]QKSCS@SB]NWVUj@C`@DNJLdAb@JP?RKx@DPHJZP|@VLHFL?NIJk@ZGN?NL^EN_@Nc@Lc@Fe@Be@IOI[YS]e@cA{AoEo@kA_@_@c@[}@_@}DgA}@[g@SmC_B{@u@s@y@e@aAg@sAUcAMgAAc@@a@Js@P]Z_@; resource_state=2}";"False";"False";"False";"True";"only_me";"False";"b5862767";"False";"4898241336";"9,335";"16,4";"85,2";"209,1";"215";"220,2";"True";"True";"132,7";"153,0";"False";"True";"463";"57,8";"1,2";"1";"1";"False";"5,0"
"2";"@{id=28538196; resource_state=1}";"Watopia";"7717,6";"809";"809";"38,0";"VirtualRide";"4585211541";"zwift-activity-722889227186891904.fit";"4898215722";"2021-01-08T05:28:54Z";"2021-01-08T06:28:54Z";"(GMT+01:00) Europe/Amsterdam";"3600,0";"System.Object[]";"System.Object[]";;;"";"-11,639093";"166,94486";"7";"0";"0";"3";"0";"@{id=a4585211541; summary_polyline=jg`fAkl}y^fBfFtAnDRx@?NELw@v@GJI\In@ELUVo@f@SXi@dAQn@Cb@BNL\d@x@f@nBL\TZLF^D`@E^MJKHOXaAHMNEt@ANEh@_@PEP@\PVXN^ZhC@d@MdAB|AENMF_ABKDIJKf@El@@n@BPFJvCbC`@RPFR@RCNEvD{ANEPAPBJJJNDPENg@H_AFi@Lg@VITJRVDj@OTAbCT~@@x@QfAc@`Ai@\WX[Xq@^_CNa@XYx@g@`@i@lCgFL_@BQEu@Ka@U[uAmA[e@IYOoAOa@QO_@UYIYE]@MDIHOZ[jAM\e@t@cAlAMHODQ?oAe@OCQ?ODMHu@x@KH]BOA[KMISWUi@Uy@G_@?c@BOLa@x@}AJM^SfBk@PER?PBz@PTCPMZa@x@y@HQ@SGQmAoBOIe@Gc@@c@Dc@LMHy@l@]ROFc@Dg@@{@Ee@KeAYa@Ec@?s@FcAPa@HyBfAi@`@YVQ\It@CNINmAfAe@|@Q`@K`@Cd@J`@^l@N`@j@vBR\LJNDb@B`@INGLKHMXcAHMNGt@APEj@a@PCRB\RXZJ`@ZnC?d@Mr@?PBfAAPMJ}@BMDKHELIj@C~@D`@RXlCvB`@RRDP@RC~DaBb@IPBLJJNDNAPQFgBNg@PSJMPDVRJVERITC`AFrANf@?f@EfA]`Ae@l@a@h@g@Xs@XmBLc@T]hAu@j@{@bCyEJa@@OCc@Ia@S]sAmASSOYKe@OeAM_@YWUKc@M[E[DUTMXYjAMZ]f@_AjAWTODQ?mAe@QCO?OBMHu@x@KHMDO@MA]KKIUWOYQi@Q{@Aa@@STq@l@kAJKf@[fA]; resource_state=2}";"False";"False";"False";"True";"only_me";"False";"b5862767";"False";"4898215722";"9,54";"13,3";"85,9";"203,4";"208";"164,5";"True";"True";"130,6";"150,0";"False";"True";"381";"14,8";"2,2";"0";"1";"False";"3,0"
"2";"@{id=28538196; resource_state=1}";"TT Tune-Up - Sweet Spot 12min";"4757,5";"606";"683";"74,0";"VirtualRide";"4585195083";"zwift-activity-722883108574824432.fit";"4898197722";"2021-01-08T05:16:51Z";"2021-01-08T06:16:51Z";"(GMT+01:00) Europe/Amsterdam";"3600,0";"System.Object[]";"System.Object[]";;;"";"40,776034";"-73,967211";"0";"0";"0";"10";"0";"@{id=a4585195083; summary_polyline=ea{wFbvmbMg@Fm@CKE?E]C{A[wA_@i@SkAy@iCcCiEqDkF{Di@k@Q[e@{AQ_AEm@?m@R_CB}@Iw@Os@GM_@_@k@c@yVmP{CiBw@[i@IqBCuBQW?WDo@TWJ_Ap@UJWFW@WCSGi@U_Ai@i@]{@s@w@y@}C_Em@o@_@WQIe@CoCLa@Aq@GcAOa@Ka@SaAy@a@e@OWq@uBQYWQYA]FWPSZMb@Cf@Dh@Jd@Nb@h@~@Lb@@h@If@Q\YR[H[Ik@e@kAuASQc@g@g@YsAm@y@e@QMOSGUEYAs@Ds@jAwEZaAVg@XYpAm@jA[b@IZAdBNT@j@CRINQP]~@sD\s@RSPE\@ZHn@\~AjAvC`CnCbB`EnCxAhA^h@Xp@B\?^Qz@o@tBG^A^H`@RXRRzA|@TP`@f@HX@XCVOh@; resource_state=2}";"False";"False";"False";"True";"only_me";"False";"b5862767";"False";"4898197722";"7,851";"17,7";"82,4";"214,1";"223";"129,7";"True";"True";"128,7";"208,0";"False";"True";"377";"51,0";"4,4";"0";"1";"False";"4,0"
